lat,lon,elevation,precipitation
14.64039374,121.0557085,54.55329514,9
14.69829935,121.0021322,21.85627174,10
14.69885841,121.1002614,69.32280731,16
14.57131006,120.9833345,10.98724079,8
14.7622323,121.0757349,87.8898468,18
14.6011784,121.0885987,14.46373367,11
14.70803089,121.052674,45.00055313,12
14.70920612,121.0502922,43.22685242,13
14.70962531,121.0470059,43.1831131,12
14.66933825,121.1328981,48.27621078,17
14.72701256,121.0465953,53.30765152,13
14.6467477,121.0628002,62.10153198,10
14.685377,121.097061,82.23147583,15
14.39827,121.027496,37.07901764,10
14.630796,121.072151,52.1958313,10
14.630796,121.072144,52.1958313,10
14.630767,121.072205,52.1958313,10
14.732137,121.05455,69.5092392,14
14.61853,121.058342,51.15957642,9
14.636256,121.082314,36.83612442,11
14.636267,121.082298,36.83612442,11
14.655506,121.086761,38.09612274,12
14.620814,121.04863,41.84384155,9
14.625777,121.010796,14.08218002,8
14.627915,121.013458,17.34160995,8
14.630739,121.01638,15.07206821,8
14.632337,121.01889,18.18972778,8
14.633064,121.020218,20.27785683,8
14.632171,121.020737,21.97542953,8
14.628372,121.033974,31.17227745,8
14.626919,121.033798,30.39649773,8
14.621645,121.024658,23.37813568,8
14.622268,121.026466,27.1499157,8
14.622911,121.02906,29.51216125,8
14.623846,121.033134,30.46222878,8
14.630303,121.025757,28.51007652,8
14.673847,121.058876,52.80630112,11
14.673867,121.058884,52.80630112,11
14.496457,121.007439,9.468486786,6
14.43601,120.987564,22.66096306,7
14.658797,121.068962,71.50645447,11
14.616882,121.064957,51.65501404,9
14.658864,121.068886,71.50645447,11
14.608107,121.026985,14.76215363,8
14.432397,121.021523,36.54158401,8
14.657551,121.06768,69.71452332,11
14.668626,121.076752,75.05729675,13
14.626,121.026611,28.12487602,8
14.62723,121.026688,28.27770233,8
14.63078,121.034523,32.84759521,8
14.625938,121.030197,30.64135361,8
14.679472,121.079971,79.26691437,13
14.65753596,121.0651474,66.56289673,10
14.65752039,121.0660701,67.59043121,10
14.65749963,121.0678082,69.71452332,11
14.59546344,121.0790808,17.87034798,10
14.64241836,121.1211071,25.00835037,15
14.57361676,121.0765127,5.744238377,10
14.57920661,121.0483482,36.25127411,8
14.6368596,121.050455,51.40341949,9
14.64677938,121.0622514,62.35651016,10
14.68882935,120.9720728,13.41955948,9
14.65221112,121.0709571,71.93280029,11
14.65182706,121.0703723,71.93280029,11
14.59085422,121.1421812,54.47685623,0
14.59112417,121.1424602,0,0
14.59102034,121.1422322,54.47685623,0
14.69006176,120.9719119,12.74557495,9
14.65172067,121.0742776,71.99536133,11
14.65243688,121.0742776,71.99536133,11
14.64861704,121.0689883,65.69420624,11
14.64383485,121.0572306,57.907547,9
14.64819146,121.0694979,65.73006439,11
14.74571089,121.0361448,64.9433136,14
14.67026839,121.0794165,76.9619751,13
14.65344373,121.0667594,67.64987946,11
14.64871528,121.0827891,37.32460403,11
14.65628471,121.0289969,35.69327164,9
14.68501919,121.0799736,77.57765961,13
14.64230158,121.0603604,58.0288887,10
14.53969079,121.0592298,8.319504738,9
14.74686165,121.0436985,65.22775269,14
14.5812486,121.0636381,62.31251907,9
14.63934712,121.1254948,30.37125778,16
14.6537707,121.0667862,67.64987946,11
14.44360194,121.0365555,32.49659348,9
14.65810257,121.0702444,72.92057037,11
14.55738134,121.0905943,5.982878208,11
14.65765405,121.0107609,19.34631729,9
14.64043127,121.0648772,55.11385727,10
14.64035082,121.0650221,55.11385727,10
14.65754095,121.0682856,70.87406921,11
14.5685391,121.0597301,33.3664093,9
14.48652373,121.0214357,19.63899612,7
14.77274289,121.0552408,68.34172058,16
14.61917544,121.0495994,42.93302155,9
14.59077505,121.0588155,42.83731842,9
14.59070107,121.1424602,0,0
14.64706669,121.0633794,62.79132843,10
14.5622996,121.0496557,18.35683441,8
14.64761628,121.0644025,63.60191727,10
14.64664833,120.9774641,13.41032124,8
14.65245154,121.0711321,72.10606384,11
14.64705891,121.0633365,62.79132843,10
14.63332236,121.0702363,52.53224182,10
14.7871457,121.0678921,74.24972534,19
14.66891789,121.1285958,34.52879715,17
14.64243283,121.0945461,14.89086914,13
14.64326955,121.0691473,58.65694809,11
14.64325917,121.0691366,58.65694809,11
14.64675732,121.0678492,62.94800568,11
14.65359257,121.0629944,62.86362839,10
14.6524417,121.0689194,71.25192261,11
14.65196681,121.0685948,71.25192261,11
14.65196422,121.0685868,71.25192261,11
14.65219777,121.068635,71.25192261,11
14.52317247,121.0164366,13.18045425,6
14.56631963,121.0249588,9.973278999,7
14.52881038,121.0167678,8.945150375,7
14.62818846,121.0773701,30.427145,11
14.6018221,121.1076531,11.44871426,12
